drug_id,name,smiles,node_idx
DB07298,"3-(CARBOXYMETHOXY)THIENO[2,3-B]PYRIDINE-2-CARBOXYLIC ACID",OC(=O)COC1=C(SC2=NC=CC=C12)C(O)=O,5656
DB07299,4-METHYL-PENTANOIC ACID {1-[4-GUANIDINO-1-(THIAZOLE-2-CARBONYL)-BUTYLCARBAMOYL]-2-METHYL-PROPYL}-AMIDE,[H][C@@](CCCNC(N)N)(NC(=O)[C@@]([H])(NC(=O)CCC(C)C)C(C)C)C(=O)C1=NC=CS1,5657
DB07300,"2-(1H-imidazol-1-yl)-9-methoxy-8-(2-methoxyethoxy)benzo[c][2,7]naphthyridin-4-amine",COCCOC1=C(OC)C=C2C(=C1)N=CC1=C(N)N=C(C=C21)N1C=CN=C1,5658
DB07301,Carbazole,N1C2=CC=CC=C2C2=CC=CC=C12,5659
DB07302,9(S)-HODE,CCCCC\C=C/C=C/[C@@H](O)CCCCCCCC(O)=O,5660
DB07303,"N~3~-[3-(5-METHOXYPYRIDIN-3-YL)BENZYL]PYRIDINE-2,3-DIAMINE",COC1=CN=CC(=C1)C1=CC(CNC2=CC=CN=C2N)=CC=C1,5661
DB07304,5-[2-(TRIFLUOROMETHOXY)PHENYL]-2-FUROIC ACID,OC(=O)C1=CC=C(O1)C1=C(OC(F)(F)F)C=CC=C1,5662
DB07305,5-(2-CHLORO-4-NITROPHENYL)-2-FUROIC ACID,OC(=O)C1=CC=C(O1)C1=CC=C(C=C1Cl)[N+]([O-])=O,5663
DB07306,ETHYL 4-[(4-CHLOROPYRIDIN-2-YL)AMINO]PIPERIDINE-1-CARBOXYLATE,CCOC(=O)N1CCC(CC1)NC1=NC=CC(Cl)=C1,5664
DB07307,N-cyclopropyl-4-methyl-3-[1-(2-methylphenyl)phthalazin-6-yl]benzamide,CC1=CC=CC=C1C1=NN=CC2=C1C=CC(=C2)C1=C(C)C=CC(=C1)C(=O)NC1CC1,5665
DB07308,5-(2-CHLOROBENZYL)-2-FUROIC ACID,OC(=O)C1=CC=C(CC2=CC=CC=C2Cl)O1,5666
DB07309,5-BROMO-2-{[(4-CHLOROPHENYL)SULFONYL]AMINO}BENZOIC ACID,OC(=O)C1=C(NS(=O)(=O)C2=CC=C(Cl)C=C2)C=CC(Br)=C1,5667
DB07310,"(5S)-2-{[(1S)-1-(2-fluorophenyl)ethyl]amino}-5-methyl-5-(trifluoromethyl)-1,3-thiazol-4(5H)-one",C[C@H](NC1=NC(=O)[C@](C)(S1)C(F)(F)F)C1=C(F)C=CC=C1,5668
DB07311,"18-CHLORO-11,12,13,14-TETRAHYDRO-1H,10H-8,4-(AZENO)-9,15,1,3,6-BENZODIOXATRIAZACYCLOHEPTADECIN-2-ONE",ClC1=CC2=C(OCCCCCOC3=CN=CC(NC(=O)N2)=N3)C=C1,5669
DB07312,"2,5-DICHLORO-N-(5-CHLORO-1,3-BENZOXAZOL-2-YL)BENZENESULFONAMIDE",ClC1=CC=C2OC(NS(=O)(=O)C3=CC(Cl)=CC=C3Cl)=NC2=C1,5670
DB07313,5-METHYL-2-[(PHENYLSULFONYL)AMINO]BENZOIC ACID,CC1=CC=C(NS(=O)(=O)C2=CC=CC=C2)C(=C1)C(O)=O,5671
DB07314,"1-(5-CHLORO-2,4-DIMETHOXYPHENYL)-3-(5-CYANOPYRAZIN-2-YL)UREA",COC1=CC(OC)=C(NC(=O)NC2=NC=C(N=C2)C#N)C=C1Cl,5672
DB07315,"5-chloro-N-{4-[(1R)-1,2-dihydroxyethyl]phenyl}-1H-indole-2-carboxamide",[H][C@](O)(CO)C1=CC=C(NC(=O)C2=CC3=CC(Cl)=CC=C3N2)C=C1,5673
DB07316,"N-{1-[(1-carbamoylcyclopropyl)methyl]piperidin-4-yl}-N-cyclopropyl-4-[(1S)-2,2,2-trifluoro-1-hydroxy-1-methylethyl]benzamide",C[C@](O)(C1=CC=C(C=C1)C(=O)N(C1CC1)C1CCN(CC2(CC2)C(N)=O)CC1)C(F)(F)F,5674
DB07317,(3E)-3-[(phenylamino)methylidene]dihydrofuran-2(3H)-one,O=C1OCC\C1=C/NC1=CC=CC=C1,5675
DB07318,"N-[2-(4-AMINO-5,8-DIFLUORO-1,2-DIHYDROQUINAZOLIN-2-YL)ETHYL]-3-FURAMIDE",[H][C@@]1(CCNC(=O)C2=COC=C2)NC2=C(F)C=CC(F)=C2C(N)=N1,5676
DB07319,"6-(3-BROMO-2-NAPHTHYL)-1,3,5-TRIAZINE-2,4-DIAMINE",NC1=NC(=NC(N)=N1)C1=CC2=CC=CC=C2C=C1Br,5677
DB07320,"4-(6-{[(4-METHYLCYCLOHEXYL)AMINO]METHYL}-1,4-DIHYDROINDENO[1,2-C]PYRAZOL-3-YL)BENZOIC ACID",[H][C@]1(C)CC[C@]([H])(CC1)NCC1=CC2=C(C=C1)C1=C(C2)C(=NN1)C1=CC=C(C=C1)C(O)=O,5678
DB07321,"2,5-DICHLORO-N-[5-METHOXY-7-(6-METHOXYPYRIDIN-3-YL)-1,3-BENZOXAZOL-2-YL]BENZENESULFONAMIDE",COC1=CC2=C(OC(NS(=O)(=O)C3=CC(Cl)=CC=C3Cl)=N2)C(=C1)C1=CN=C(OC)C=C1,5679
DB07322,"2-[(PHENYLSULFONYL)AMINO]-5,6,7,8-TETRAHYDRONAPHTHALENE-1-CARBOXYLIC ACID",OC(=O)C1=C2CCCCC2=CC=C1NS(=O)(=O)C1=CC=CC=C1,5680
DB07323,"2-[({2-[(1Z)-3-(DIMETHYLAMINO)PROP-1-ENYL]-4-FLUOROPHENYL}SULFONYL)AMINO]-5,6,7,8-TETRAHYDRONAPHTHALENE-1-CARBOXYLIC ACID",CN(C)C\C=C/C1=CC(F)=CC=C1S(=O)(=O)NC1=CC=C2CCCCC2=C1C(O)=O,5681
DB07324,"3-({2-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)ETHYNYL]BENZYL}AMINO)-1,3-OXAZOL-2(3H)-ONE",CC1=CC(=NC(N)=N1)C#CC1=C(CNN2C=COC2=O)C=CC=C1,5682
DB07325,N-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)METHYL]-3-{[(E)-(2-OXODIHYDROFURAN-3(2H)-YLIDENE)METHYL]AMINO}BENZENESULFONAMIDE,CC1=NC(N)=NC(CNS(=O)(=O)C2=CC(N\C=C3/CCOC3=O)=CC=C2)=C1,5683
DB07326,"6-chloro-N-pyrimidin-5-yl-3-{[3-(trifluoromethyl)phenyl]amino}-1,2-benzisoxazole-7-carboxamide",FC(F)(F)C1=CC(NC2=NOC3=C(C(=O)NC4=CN=CN=C4)C(Cl)=CC=C23)=CC=C1,5684
DB07327,R-95845,CC(=O)C1=C(N[C@H](C(N)=O)C2=C(Br)C=CC=C2Br)C=C(C)C=C1,5685
DB07328,"METHYL 4-{[({[(2R,5S)-5-{[(2S)-2-(AMINOMETHYL)PYRROLIDIN-1-YL]CARBONYL}PYRROLIDIN-2-YL]METHYL}AMINO)CARBONYL]AMINO}BENZOATE",[H][C@]1(CNC(=O)NC2=CC=C(C=C2)C(=O)OC)CC[C@]([H])(N1)C(=O)N1CCC[C@@]1([H])CN,5686
DB07329,1-[N-4'-NITROBENZYL-N-4'-CARBOXYBUTYLAMINO]METHYLPHOSPHONIC ACID,OC(=O)CCCCN(CC1=CC=C(C=C1)[N+]([O-])=O)CP(O)(O)=O,5687
DB07330,A-620223,CCCN1CCC(CC1)C1=NC2=CC=CC(C(N)=O)=C2N1,5688
DB07331,p-Nitrophenylacetic acid,OC(=O)CC1=CC=C(C=C1)[N+]([O-])=O,5689
DB07332,"ALPHA-(2,6-DICHLOROPHENYL)-ALPHA-(2-ACETYL-5-METHYLANILINO)ACETAMIDE",[H][C@@](NC1=C(C=CC(C)=C1)C(C)=O)(C(N)=O)C1=C(Cl)C=CC=C1Cl,5690
DB07333,"N-(CYCLOPROPYLMETHYL)-4-(METHYLOXY)-3-({5-[3-(3-PYRIDINYL)PHENYL]-1,3-OXAZOL-2-YL}AMINO)BENZENESULFONAMIDE",COC1=CC=C(C=C1NC1=NC=C(O1)C1=CC(=CC=C1)C1=CN=CC=C1)S(=O)(=O)NCC1CC1,5691
DB07334,"N-[5-(ETHYLSULFONYL)-2-METHOXYPHENYL]-5-[3-(2-PYRIDINYL)PHENYL]-1,3-OXAZOL-2-AMINE",CCS(=O)(=O)C1=CC=C(OC)C(NC2=NC=C(O2)C2=CC=CC(=C2)C2=CC=CC=N2)=C1,5692
DB07335,"3-[4-AMINO-1-(1-METHYLETHYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-3-YL]PHENOL",CC(C)N1N=C(C2=C1N=CN=C2N)C1=CC=CC(O)=C1,5693
DB07336,4-[3-(1H-BENZIMIDAZOL-2-YL)-1H-INDAZOL-6-YL]-2-METHOXYPHENOL,COC1=CC(=CC=C1O)C1=CC2=C(C=C1)C(=NN2)C1=NC2=CC=CC=C2N1,5694
DB07337,"4-[4-AMINO-6-(5-CHLORO-1H-INDOL-4-YLMETHYL)-[1,3,5]TRIAZIN-2-YLAMINO]-BENZONITRILE",NC1=NC(CC2=C3C=CNC3=CC=C2Cl)=NC(NC2=CC=C(C=C2)C#N)=N1,5695
DB07338,Acifluorfen,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O,5696
DB07339,"(3S)-3-hydroxy-1-methyl-2,3-dihydro-1H-indole-5,6-dione",[H][C@@]1(O)CN(C)C2=CC(=O)C(=O)C=C12,5697
DB07340,Reversine,C1CCC(CC1)NC1=NC(NC2=CC=C(C=C2)N2CCOCC2)=NC2=C1N=CN2,5698
DB07341,"octyl 3-amino-3-deoxy-2-O-(2,6-dideoxy-alpha-L-lyxo-hexopyranosyl)-beta-D-galactopyranoside",[H][C@]1(O)C[C@]([H])(O[C@]2([H])[C@@]([H])(N)[C@@]([H])(O)[C@@]([H])(CO)O[C@@]2([H])OCCCCCCCC)O[C@@]([H])(C)[C@@]1([H])O,5699
DB07342,1-(adamantan-1-yl)-2-(1H-imidazol-1-yl)ethanone,[H]C12CC3([H])CC([H])(C1)CC(C2)(C3)C(=O)CN1C=CN=C1,5700
DB07343,"4-[4-AMINO-6-(2,6-DICHLORO-PHENOXY)-[1,3,5]TRIAZIN-2-YLAMINO]-BENZONITRILE",NC1=NC(OC2=C(Cl)C=CC=C2Cl)=NC(NC2=CC=C(C=C2)C#N)=N1,5701
DB07344,"3,6,9,12,15-PENTAOXAHEPTADECAN-1-OL",CCOCCOCCOCCOCCOCCO,5702
DB07345,4-(2-aminoethyl)-2-cyclohexylphenol,NCCC1=CC=C(O)C(=C1)C1CCCCC1,5703
DB07346,4-(2-aminoethyl)-2-ethylphenol,CCC1=CC(CCN)=CC=C1O,5704
DB07347,4-(2-Aminoethyl)Benzenesulfonyl Fluoride,NCCC1=CC=C(C=C1)S(F)(=O)=O,5705
DB07348,Brefeldin A,[H][C@]1(O)C[C@@]2([H])\C=C\CCC[C@]([H])(C)OC(=O)\C=C\[C@@]([H])(O)[C@]2([H])C1,5706
DB07349,"(1S)-2-{[{[(2S)-2,3-DIHYDROXYPROPYL]OXY}(HYDROXY)PHOSPHORYL]OXY}-1-[(PENTANOYLOXY)METHYL]ETHYL OCTANOATE",[H][C@](O)(CO)CO[P@@]([O-])(=O)OC[C@@]([H])(COC(=O)CCCC)OC(=O)CCCCCCC,5707
DB07350,(2E)-N-hydroxy-3-[1-methyl-4-(phenylacetyl)-1H-pyrrol-2-yl]prop-2-enamide,CN1C=C(C=C1\C=C\C(=O)NO)C(=O)CC1=CC=CC=C1,5708
DB07351,O-(((1R)-((N-(PHENYL-METHOXY-CARBONYL)-ALANYL)-AMINO)METHYL)HYDROXYPHOSPHINYL)3-L-PHENYLLACTATE,[H][C@@](C)(NC(=O)OCC1=CC=CC=C1)C(=O)NC[P@](O)(=O)O[C@@]([H])(CC1=CC=CC=C1)C(O)=O,5709
DB07352,Apigenin,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O,5710
DB07353,"4-(2,5-DIAMINO-5-HYDROXY-PENTYL)-PHENOL",[H][C@](N)(O)CC[C@@]([H])(N)CC1=CC=C(O)C=C1,5711
DB07354,"2,3-DIMETHOXY-12H-[1,3]DIOXOLO[5,6]INDENO[1,2-C]ISOQUINOLIN-6-IUM",COC1=C(OC)C=C2C3=C([NH+]=CC2=C1)C1=C(C3)C=C2OCOC2=C1,5712
DB07355,3-(heptyloxy)benzoic acid,CCCCCCCOC1=CC=CC(=C1)C(O)=O,5713
DB07356,"(1S)-2-[(2S,5R)-2-(AMINOMETHYL)-5-ETHYNYLPYRROLIDIN-1-YL]-1-CYCLOPENTYL-2-OXOETHANAMINE",[H][C@](N)(C1CCCC1)C(=O)N1[C@]([H])(CN)CC[C@]1([H])C#C,5714
DB07357,"4-AMINO-2-HEXYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL",[H][C@]1(N)[C@@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(OCCCCCC)[C@]1([H])O,5715
DB07358,"2-amino-N-(4-methyl-1,3-thiazol-2-yl)-5-[(4-methyl-4H-1,2,4-triazol-3-yl)sulfanyl]benzamide",CN1C=NN=C1SC1=CC=C(N)C(=C1)C(=O)NC1=NC(C)=CS1,5716
DB07359,"3-[(4-fluorophenyl)sulfanyl]-N-(4-methyl-1,3-thiazol-2-yl)-6-[(4-methyl-4H-1,2,4-triazol-3-yl)sulfanyl]pyridine-2-carboxamide",CN1C=NN=C1SC1=NC(C(=O)NC2=NC(C)=CS2)=C(SC2=CC=C(F)C=C2)C=C1,5717
DB07360,"1-{5-[2-(thieno[3,2-d]pyrimidin-4-ylamino)ethyl]-1,3-thiazol-2-yl}-3-[3-(trifluoromethyl)phenyl]urea",FC(F)(F)C1=CC=CC(NC(=O)NC2=NC=C(CCNC3=NC=NC4=C3SC=C4)S2)=C1,5718
DB07362,"1-(5-{2-[(1-methyl-1H-pyrazolo[4,3-d]pyrimidin-7-yl)amino]ethyl}-1,3-thiazol-2-yl)-3-[3-(trifluoromethyl)phenyl]urea",CN1N=CC2=C1C(NCCC1=CN=C(NC(=O)NC3=CC=CC(=C3)C(F)(F)F)S1)=NC=N2,5719
DB07363,"THIOPHENE-2,5-DISULFONIC ACID 2-AMIDE-5-(4-METHYL-BENZYLAMIDE)",CC1=CC=C(CNS(=O)(=O)C2=CC=C(S2)S(N)(=O)=O)C=C1,5720
DB07364,"6-PHENYL[5H]PYRROLO[2,3-B]PYRAZINE",CCCCC1=C(NC2=NC=CN=C12)C1=CC=C(O)C=C1,5721
DB07365,1-Naphthyl-L-alanine,N[C@@H](CC1=CC=CC2=C1C=CC=C2)C(O)=O,5722
DB07366,2-[N'-(4-AMINO-BUTYL)-HYDRAZINOCARBONYL]-PYRROLIDINE-1-CARBOXYLIC ACID BENZYL ESTER,[H][C@]1(CCCN1C(=O)OCC1=CC=CC=C1)C(=O)NNCCCCN,5723
DB07367,"(3Z,5S,6R,7S,8S,8aR)-3-(octylimino)hexahydro[1,3]oxazolo[3,4-a]pyridine-5,6,7,8-tetrol",[H][C@]12CO\C(=N/CCCCCCCC)N1[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@@]2([H])O,5724
DB07368,4-(METHYLSULFONYL)BENZENECARBOXIMIDAMIDE,CS(=O)(=O)C1=CC=C(C=C1)C(N)=N,5725
DB07369,"N-(3-chlorophenyl)-N-methyl-2-oxo-3-[(3,4,5-trimethyl-1H-pyrrol-2-yl)methyl]-2H-indole-5-sulfonamide",CN(C1=CC(Cl)=CC=C1)S(=O)(=O)C1=CC2=C(CC3=C(C)C(C)=C(C)N3)C(=O)N=C2C=C1,5726
DB07370,"(3Z,5S,6R,7S,8R,8aS)-3-(octylimino)hexahydro[1,3]thiazolo[3,4-a]pyridine-5,6,7,8-tetrol",[H][C@]12CS\C(=N/CCCCCCCC)N1[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O,5727
DB07371,3-(10-methyl-9-anthryl)propanoic acid,CC1=C2C=CC=CC2=C(CCC(O)=O)C2=C1C=CC=C2,5728
DB07373,Boldione,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,5729
DB07374,Anisomycin,[H][C@]1(O)CN[C@]([H])(CC2=CC=C(OC)C=C2)[C@]1([H])OC(C)=O,5730
DB07375,Etiocholanedione,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])CC(=O)CC[C@]12C,5731
DB07376,5-(DIMETHYLAMINO)-1-NAPHTHALENESULFONIC ACID(DANSYL ACID),CN(C)C1=C2C=CC=C(C2=CC=C1)S(O)(=O)=O,5732
DB07377,"N'-((2S,3R)-3-AMINO-2-HYDROXY-5-(ISOPROPYLSULFANYL)PENTANOYL)-N-3-CHLOROBENZOYL HYDRAZIDE",[H][C@@](N)(CCSC(C)C)[C@]([H])(O)C(=O)NNC(=O)C1=CC(Cl)=CC=C1,5733
DB07378,"4-AMINO-2-OCTYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL",[H][C@]1(N)[C@@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(OCCCCCCCC)[C@]1([H])O,5734
DB07379,(2S)-2-({6-[(3-Amino-5-chlorophenyl)amino]-9-isopropyl-9H-purin-2-yl}amino)-3-methyl-1-butanol,[H][C@](CO)(NC1=NC2=C(N=CN2C(C)C)C(NC2=CC(Cl)=CC(N)=C2)=N1)C(C)C,5735
DB07380,"1,1,1-TRIFLUORO-3-ACETAMIDO-4-PHENYL BUTAN-2-ONE(N-ACETYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE)",[H][C@@](CC1=CC=CC=C1)(NC(C)=O)C(=O)C(F)(F)F,5736
DB07381,(S)-atrolactic acid,CC(O)(C(O)=O)C1=CC=CC=C1,5737
DB07382,"N~2~-1H-benzimidazol-5-yl-N~4~-(3-cyclopropyl-1H-pyrazol-5-yl)pyrimidine-2,4-diamine",C1CC1C1=NNC(NC2=CC=NC(NC3=CC4=C(NC=N4)C=C3)=N2)=C1,5738
DB07383,"N-(1-BENZYL-3,3,3-TRIFLUORO-2,2-DIHYDROXY-PROPYL)-ACETAMIDE",[H][C@@](CC1=CC=CC=C1)(NC(C)=O)C(O)(O)C(F)(F)F,5739
DB07384,1-ACETYL-2-CARBOXYPIPERIDINE,[H][C@]1(CCCCN1C(C)=O)C(O)=O,5740
DB07385,"3-(HYDROXYMETHYL)-1-METHYL-5-(2-METHYLAZIRIDIN-1-YL)-2-PHENYL-1H-INDOLE-4,7-DIONE",[H][C@@]1(C)C[N@@]1C1=CC(=O)C2=C(C(CO)=C(N2C)C2=CC=CC=C2)C1=O,5741
DB07387,3-(BUTYLSULPHONYL)-PROPANOIC ACID,CCCCS(=O)(=O)CCC(O)=O,5742
DB07388,ETHYL 4-[(4-METHYLPYRIDIN-2-YL)AMINO]PIPERIDINE-1-CARBOXYLATE,CCOC(=O)N1CCC(CC1)NC1=NC=CC(C)=C1,5743
DB07389,N-[2-(6-AMINO-4-METHYLPYRIDIN-2-YL)ETHYL]-4-CYANOBENZAMIDE,CC1=CC(N)=NC(CCNC(=O)C2=CC=C(C=C2)C#N)=C1,5744
DB07390,"2-[3-(5-Mercapto-[1,3,4]thiadiazol-2-yl)-ureido]-N-methyl-3-phenyl-propionamide",CNC(=O)[C@H](CC1=CC=CC=C1)NC(=O)NC1=NNC(=S)S1,5745
DB07391,"(2S)-2-AMINO-1-(5-TERT-BUTYL-1,3,4-OXADIAZOL-2-YL)PROPAN-1-ONE",[H][C@@](C)(N)C(=O)C1=NN=C(O1)C(C)(C)C,5746
DB07392,Atrazine,CCNC1=NC(NC(C)C)=NC(Cl)=N1,5747
DB07393,"2-(2-PHENYL-3-PYRIDIN-2-YL-4,5,6,7-TETRAHYDRO-2H-ISOPHOSPHINDOL-1-YL)PYRIDINE",C1CCC2=C(P(C(=C2C1)C1=NC=CC=C1)C1=CC=CC=C1)C1=NC=CC=C1,5748
DB07394,AUROVERTIN B,[H][C@]1(CC)O[C@]2(C)[C@]([H])(OC(C)=O)[C@@]1(C)O[C@@]([H])(\C=C\C=C\C=C\C1=C(C)C(OC)=CC(=O)O1)[C@]2([H])O,5749
DB07395,"4-[3-(2-Chloro-4,5-difluoro-benzoyl)ureido]-3-trifluoromethoxybenzoic acid",OC(=O)C1=CC=C(NC(=O)NC(=O)C2=CC(F)=C(F)C=C2Cl)C(OC(F)(F)F)=C1,5750
DB07396,AVE-2865,OC(=O)C1CCN(CC1)C1=C(NC(=O)NC(=O)C2=CC(F)=C(F)C=C2Cl)C=C(F)C=C1,5751
DB07397,"(5S)-5-(2-amino-2-oxoethyl)-4-oxo-N-[(3-oxo-3,4-dihydro-2H-1,4-benzoxazin-6-yl)methyl]-3,4,5,6,7,8-hexahydro[1]benzothieno[2,3-d]pyrimidine-2-carboxamide",[H][C@@]1(CC(N)=O)CCCC2=C1C1=C(S2)N=C(NC1=O)C(=O)NCC1=CC=C2OCC(=O)NC2=C1,5752
DB07398,"2-[(CYCLOPROPYLCARBONYL)AMINO]-4,5,6,7-TETRAHYDRO-1-BENZOTHIOPHENE-3-CARBOXAMIDE",NC(=O)C1=C(NC(=O)C2CC2)SC2=C1CCCC2,5753
DB07400,1-ETHOXYCARBONYL-D-PHE-PRO-2(4-AMINOBUTYL)HYDRAZINE,[H][C@](CC1=CC=CC=C1)(NC(=O)OCC)C(=O)N1CCC[C@@]1([H])C(=O)NNCCCCN,5754
DB07401,Azoxystrobin,CO\C=C(\C(=O)OC)C1=C(OC2=NC=NC(OC3=CC=CC=C3C#N)=C2)C=CC=C1,5755
DB07402,Azapropazone,[H][C@@]1(CC=C)C(=O)N2N(C1=O)C1=CC(C)=CC=C1N=C2N(C)C,5756
DB07403,"4-[(3-CHLORO-4-{[(2R)-3,3,3-TRIFLUORO-2-HYDROXY-2-METHYLPROPANOYL]AMINO}PHENYL)SULFONYL]-N,N-DIMETHYLBENZAMIDE",CN(C)C(=O)C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(NC(=O)[C@@](C)(O)C(F)(F)F)C(Cl)=C1,5757
DB07404,BPH-608,OC(CC1=CC=CC(=C1)C1=CC(=CC=C1)C1=CC=CC=C1)(P(O)(O)=O)P(O)(O)=O,5758
DB07405,"1-(6-CYANO-3-PYRIDYLCARBONYL)-5',8'-DIFLUOROSPIRO[PIPERIDINE-4,2'(1'H)-QUINAZOLINE]-4'-AMINE",NC1=NC2(CCN(CC2)C(=O)C2=CC=C(N=C2)C#N)NC2=C(F)C=CC(F)=C12,5759
DB07406,"(4R)-N-[4-({[2-(DIMETHYLAMINO)ETHYL]AMINO}CARBONYL)-1,3-THIAZOL-2-YL]-4-METHYL-1-OXO-2,3,4,9-TETRAHYDRO-1H-BETA-CARBOLINE-6-CARBOXAMIDE",[H][C@]1(C)CNC(=O)C2=C1C1=CC(=CC=C1N2)C(=O)NC1=NC(=CS1)C(=O)NCCN(C)C,5760
DB07407,5-(2-METHOXYPHENYL)-2-FUROIC ACID,COC1=C(C=CC=C1)C1=CC=C(O1)C(O)=O,5761
DB07408,5-(2-NITROPHENYL)-2-FUROIC ACID,OC(=O)C1=CC=C(O1)C1=C(C=CC=C1)[N+]([O-])=O,5762
DB07409,"(1-HYDROXY-1-PHOSPHONO-2-[1,1';4',1'']TERPHENYL-3-YL-ETHYL)-PHOSPHONIC ACID",OC(CC1=CC=CC(=C1)C1=CC=C(C=C1)C1=CC=CC=C1)(P(O)(O)=O)P(O)(O)=O,5763
DB07410,[2-(3-DIBENZOFURAN-4-YL-PHENYL)-1-HYDROXY-1-PHOSPHONO-ETHYL]-PHOSPHONIC ACID,OC(CC1=CC(=CC=C1)C1=CC=CC2=C1OC1=C2C=CC=C1)(P(O)(O)=O)P(O)(O)=O,5764
DB07411,PHENYLALANINE BORONIC ACID,[H][C@](N)(CC1=CC=CC=C1)B(O)O,5765
DB07412,1-biphenyl-2-ylmethanamine,NCC1=C(C=CC=C1)C1=CC=CC=C1,5766
DB07413,5'-S-[2-(decylamino)ethyl]-5'-thioadenosine,[H][C@]1(CSCCNCCCCCCCCCC)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,5767
DB07414,"(5S)-1-benzyl-3-(1,1-dioxido-1,2-benzisothiazol-3-yl)-4-hydroxy-5-(1-methylethyl)-1,5-dihydro-2H-pyrrol-2-one",[H][C@@]1(C(C)C)N(CC2=CC=CC=C2)C(=O)C(=C1O)C1=NS(=O)(=O)C2=C1C=CC=C2,5768
DB07415,4-[(1S)-1-(3-fluoro-4-methoxyphenyl)-2-(2-methoxy-5-nitrophenyl)ethyl]-1H-imidazol-2-amine,[H][C@@](CC1=CC(=CC=C1OC)[N+]([O-])=O)(C1=CNC(N)=N1)C1=CC=C(OC)C(F)=C1,5769
DB07416,(2S)-2-(BUTYRYLOXY)-3-HYDROXYPROPYL NONANOATE,[H][C@](CO)(COC(=O)CCCCCCCC)OC(=O)CCC,5770
DB07418,bis(4-nitrophenyl) hydrogen phosphate,OP(=O)(OC1=CC=C(C=C1)[N+]([O-])=O)OC1=CC=C(C=C1)[N+]([O-])=O,5771
DB07419,S-23,C[C@](O)(COC1=CC=C(Cl)C(F)=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F,5772
DB07420,(1R)-4-(3-phenoxyphenyl)-1-phosphonobutane-1-sulfonic acid,[H][C@@](CCCC1=CC=CC(OC2=CC=CC=C2)=C1)(P(O)(O)=O)S(O)(=O)=O,5773
DB07421,"4-{[(1R,2S)-1,2-dihydroxy-2-methyl-3-(4-nitrophenoxy)propyl]amino}-2-(trifluoromethyl)benzonitrile",[H][C@](O)(NC1=CC(=C(C=C1)C#N)C(F)(F)F)[C@@](C)(O)COC1=CC=C(C=C1)[N+]([O-])=O,5774
DB07422,(2S)-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]-3-(pentafluorophenoxy)propanamide,C[C@](O)(COC1=C(F)C(F)=C(F)C(F)=C1F)C(=O)NC1=CC=C(C(=C1)C(F)(F)F)[N+]([O-])=O,5775
DB07423,Andarine,CC(=O)NC1=CC=C(OC[C@](C)(O)C(=O)NC2=CC=C(C(=C2)C(F)(F)F)[N+]([O-])=O)C=C1,5776
DB07424,Tripotassium (1R)-4-biphenyl-4-yl-1-phosphonatobutane-1-sulfonate,[K+].[K+].[K+].[O-]P([O-])(=O)[C@@H](CCCC1=CC=C(C=C1)C1=CC=CC=C1)S([O-])(=O)=O,5777
DB07425,Sobetirome,CC(C)C1=C(O)C=CC(CC2=C(C)C=C(OCC(O)=O)C=C2C)=C1,5778
DB07426,"[1-HYDROXY-2-(1,1':3',1''-TERPHENYL-3-YLOXY)ETHANE-1,1-DIYL]BIS(PHOSPHONIC ACID)",OC(COC1=CC=CC(=C1)C1=CC=CC(=C1)C1=CC=CC=C1)(P(O)(O)=O)P(O)(O)=O,5779
DB07427,2-[(2-methoxy-5-methylphenoxy)methyl]pyridine,COC1=C(OCC2=NC=CC=C2)C=C(C)C=C1,5780
DB07428,4-[(5-methoxy-2-methylphenoxy)methyl]pyridine,COC1=CC(OCC2=CC=NC=C2)=C(C)C=C1,5781
DB07429,2-({[4-bromo-3-(diethylsulfamoyl)phenyl]carbonyl}amino)benzoic acid,CCN(CC)S(=O)(=O)C1=CC(=CC=C1Br)C(=O)NC1=CC=CC=C1C(O)=O,5782
